,output_First,output_Second,output_Upstream,output_Total
DEU_55T56,1000.0,7094.0,338106.0,346200.0
DEU_58T60,1000.0,7094.0,338106.0,346200.0
DEU_61,1000.0,7094.0,338106.0,346200.0
DEU_62T63,1000.0,7094.0,338106.0,346200.0
DEU_64T66,1000.0,7094.0,338106.0,346200.0
DEU_68,1000.0,7094.0,338106.0,346200.0
DEU_69T82,1000.0,7094.0,338106.0,346200.0
DEU_84,1000.0,7094.0,338106.0,346200.0
DEU_85,1000.0,7094.0,338106.0,346200.0
DEU_86T88,1000.0,7094.0,338106.0,346200.0
DEU_90T96,1000.0,7094.0,338106.0,346200.0
DEU_97T98,1000.0,7094.0,338106.0,346200.0
GRC_01T03,1000.0,7094.0,338106.0,346200.0
GRC_05T06,1000.0,7094.0,338106.0,346200.0
GRC_07T08,1000.0,7094.0,338106.0,346200.0
GRC_09,1000.0,7094.0,338106.0,346200.0
GRC_10T12,1000.0,7094.0,338106.0,346200.0
GRC_13T15,1000.0,7094.0,338106.0,346200.0
GRC_16,1000.0,7094.0,338106.0,346200.0
GRC_17T18,1000.0,7094.0,338106.0,346200.0
GRC_19,1000.0,7094.0,338106.0,346200.0
GRC_20T21,1000.0,7094.0,338106.0,346200.0
GRC_22,1000.0,7094.0,338106.0,346200.0
GRC_23,1000.0,7094.0,338106.0,346200.0
GRC_24,1000.0,7094.0,338106.0,346200.0
GRC_25,1000.0,7094.0,338106.0,346200.0
GRC_26,1000.0,7094.0,338106.0,346200.0
GRC_27,1000.0,7094.0,338106.0,346200.0
GRC_28,1000.0,7094.0,338106.0,346200.0
GRC_29,1000.0,7094.0,338106.0,346200.0
GRC_30,1000.0,7094.0,338106.0,346200.0
GRC_31T33,1000.0,7094.0,338106.0,346200.0
GRC_35T39,1000.0,7094.0,338106.0,346200.0
GRC_41T43,1000.0,7094.0,338106.0,346200.0
GRC_45T47,1000.0,7094.0,338106.0,346200.0
GRC_49T53,1000.0,7094.0,338106.0,346200.0
GRC_55T56,1000.0,7094.0,338106.0,346200.0
GRC_58T60,1000.0,7094.0,338106.0,346200.0
GRC_61,1000.0,7094.0,338106.0,346200.0
GRC_62T63,1000.0,7094.0,338106.0,346200.0
GRC_64T66,1000.0,7094.0,338106.0,346200.0
GRC_68,1000.0,7094.0,338106.0,346200.0
GRC_69T82,1000.0,7094.0,338106.0,346200.0
GRC_84,1000.0,7094.0,338106.0,346200.0
GRC_85,1000.0,7094.0,338106.0,346200.0
GRC_86T88,1000.0,7094.0,338106.0,346200.0
GRC_90T96,1000.0,7094.0,338106.0,346200.0
GRC_97T98,1000.0,7094.0,338106.0,346200.0
HUN_01T03,1000.0,7094.0,338106.0,346200.0
HUN_05T06,1000.0,7094.0,338106.0,346200.0
HUN_07T08,1000.0,7094.0,338106.0,346200.0
HUN_09,1000.0,7094.0,338106.0,346200.0
HUN_10T12,1000.0,7094.0,338106.0,346200.0
HUN_13T15,1000.0,7094.0,338106.0,346200.0
HUN_16,1000.0,7094.0,338106.0,346200.0
HUN_17T18,1000.0,7094.0,338106.0,346200.0
HUN_19,1000.0,7094.0,338106.0,346200.0
HUN_20T21,1000.0,7094.0,338106.0,346200.0
HUN_22,1000.0,7094.0,338106.0,346200.0
HUN_23,1000.0,7094.0,338106.0,346200.0
HUN_24,1000.0,7094.0,338106.0,346200.0
HUN_25,1000.0,7094.0,338106.0,346200.0
HUN_26,1000.0,7094.0,338106.0,346200.0
HUN_27,1000.0,7094.0,338106.0,346200.0
HUN_28,1000.0,7094.0,338106.0,346200.0
HUN_29,1000.0,7094.0,338106.0,346200.0
HUN_30,1000.0,7094.0,338106.0,346200.0
HUN_31T33,1000.0,7094.0,338106.0,346200.0
HUN_35T39,1000.0,7094.0,338106.0,346200.0
HUN_41T43,1000.0,7094.0,338106.0,346200.0
HUN_45T47,1000.0,7094.0,338106.0,346200.0
HUN_49T53,1000.0,7094.0,338106.0,346200.0
HUN_55T56,1000.0,7094.0,338106.0,346200.0
HUN_58T60,1000.0,7094.0,338106.0,346200.0
HUN_61,1000.0,7094.0,338106.0,346200.0
HUN_62T63,1000.0,7094.0,338106.0,346200.0
HUN_64T66,1000.0,7094.0,338106.0,346200.0
HUN_68,1000.0,7094.0,338106.0,346200.0
HUN_69T82,1000.0,7094.0,338106.0,346200.0
HUN_84,1000.0,7094.0,338106.0,346200.0
HUN_85,1000.0,7094.0,338106.0,346200.0
